project_number,project_title,project_starts,project_ends,project_description,project_category,project_sector,project_budget,project_leader,project_inst,project_addr
209754,The Second Norwegian Artificial Intelligence Symposium 2010,2010,2010,NA,Statlige høyskoler,UoH-sektor,19765,Sule Yildirim Yayilgan,HØGSKOLEN I GJØVIK,Gjøvik
210031,Teknologiske og operasjonelle muligheter for bruk av AUV innen havbruk,2011,2011,"Hovedmålet for forprosjektet er å etablere et sterkt konsortium med vekt på kunnskap innen havbruk og AUV, og utarbeide en fullstendig BIP hovedprosjektsøknad til MAROFF. Videre er målsetningen for hovedprosjektet å utvikle en AUV demonstrator med tilhøre nde instrumentering for inspeksjon og produksjonskontroll i merdbaserte oppdrettsanlegg. Visjonen med arbeidet sikter mot å se på mulighetene for å utvikle et konsept som skal kunne anvendes kommersielt i oppdrett, samt kunne brukes som et forskningsverkt øy.
Størrelsen på anleggene som brukes innenfor oppdrett har utviklet seg betydelig sammen med økende produksjon. Trenden er stadig større merder og lokaliteter som plasseres i mer eksponerte områder. Det er derfor nødvendig med nye systemer for instrumen tering og prosessdokumentasjon for å kvantifisere produksjon og sikkerhet, noe som er motivert av både miljø og økonomi. Det er ønskelig å oppnå større kontroll på parametre knyttet bl.a. til rømningssikkerhet, fiskevelferd og vekstvilkår. 

En AUV utstyr t med relevante sensorsystemer kan brukes til å løse mange av disse ufordringene, og der et av de viktigste argumentene er fleksibilitet. Målingene kan hentes inn fra hele vannvolumet i et stort antall punkter, og fleksibiliteten og oppløsningen vil derfo r være vesentlig utvidet sammenlignet med tradisjonelle stasjonære målesystemer. En AUV kan programmeres til å utføre disse målingene periodisk, og ved hjelp av kunstig intelligens kan f.eks. detekterte problemområder undersøkes ekstra nøye. Data kan vide re brukes i beslutningsstøttesystemet for å optimalisere drift og operasjon av anlegget, og vil gi en helt ny grad av kontroll og oppfølging av produksjonen. 

Vi har tro på at det er mulig å løse disse oppgavene ved bruk av AUV, men samtidig vil det være  en rekke utfordringer ved å håndtere slik teknologi i et miljø med levende fisk og sårbare strukturer. Det vil derfor være mange interessante forsknings- og utviklingsoppgaver knyttet til et slikt prosjekt.",Næringsliv,Næringsliv,150000,Per Rundtop,AUV Department Kongsberg Maritime AS,Horten
210546,Identifisering av trykte objekter for sortering av retur,2011,2016,"Prosjektet fokuserer på effektive løsninger for automatisk retursortering gjennom identifikasjon av trykte objekter for to ulike anvendelser; sortering av trykksaker og sortering av drikkevareemballasje basert på etiketter. Begge problemstillingene stiller strenge krav til robusthet, nøyaktighet og effektivitet. Bildebasert gjenkjenning basert på lokale deskriptorer representerer et paradigmeskifte metodemessig som gir nye muligheter for å finne løsninger på disse sorteringsproblemene. Med utgangspunkt i  disse metodene er hensikten å utvikle et system for sortering av trykksaker. I tillegg skal de samme metodenes potensiale evalueres også for sortering av drikkevareemballasje samt juksutfordringer knyttet til dette. 

Innovasjonen består i å ta frem løsninger som gjør at systemene er mindre avhengige av strekkode. Det gir nye muligheter for håndtering av objekter der strekkoden mangler eller er ødelagt, men på sikt kan det også åpne for nye muligheter. For sortering av trykksaker kan det forenkle systemen e gjennom at det blir tilstrekkelig med avbildning fra en side, og det kan også øke funksjonaliteten ved å gjøre det mulig å håndtere bunker av like tidsskrifter. For drikkevareemballasje kan det gi nye muligheter for håndtering av fremtidens ikke-rotasjonssymmetriske objekter.

Forskningsutfordringene består i å komme fram til løsninger som kan fungere i sann tid med hensyn både til beregning av robuste deskriptorer og matching av disse for problemstillinger der antallet klasser kan komme opp i flere tus en.",Næringsliv,Næringsliv,6406414,Line Eikvil,HS NEWS SYSTEMS AS,Kongsberg
210723,Foundation Design of Tomorrow's Infrastructure,2011,2016,"The GeoFuture project proposes a 3-dimensional and integrated set of models to support civil engineering construction with geotechncial solutions. Under the leadership of NGI, Norwegian private companies, Norwegian universities and government agencies, the research will lead to an innovative way of solving geotechnical problems in an integrated manner with the structural, environmental and safety components of infrastructure projects.  

The future design approaches and tools for building, construction and transportation (Norwegian infrastructure) face an urgent need for integrated 3-D solutions combined with solid geo-expertise. The solutions will contribute to more effective and interdisciplinary design and even control of projects. A variety of techniques, ranging from artificial intelligence to computerized visualization, from new geotechnical models to methods and tools for risk assessment are the subject of the 4-year research.

To meet the project's objectives, the research team requires a variety  of different scientific expertise and developments, whereof the most important are the integration of geotechnical and geomechanical models into illustrative and intuitive  3-D representation. In addition to the scientific geo-developments, the project in cludes validation and dissemination of the results and the elaboration of assistance to the user in the form of a knowledge-based system.  

The project is organised such that it will also contribute to industry-oriented student and researcher training an d long-term competence development in civil engineering in Norway. The results, when implemented in practice, will lead to more efficient and more reliable designs, thus contributing to a more sustainable civil engineering industry in the building, construction and transportation sectors in Norway and, with time, abroad.",Teknisk-industrielle institutter,Instituttsektor,16000000,Suzanne Lacasse,STIFTELSEN NORGES GEOTEKNISKE INSTITUTT,Oslo
214816,Common Language Resources and their Applications (CLARA),2011,2014,"In the past decades, language models have increasingly moved from manually constructed, deductive rule based systems towards systems based on statistics and machine learning of authentic data. The construction of such language models presupposes very larg e amounts of suitable, annotated language data for every language in question. Current approaches are often generally called ""corpus-based"" due to their reliance on text or speech corpora, but other, derived language resources such as lexicons, wordnets,  termbanks etc. play an important role as well. Even newer approaches are aimed at building hybrid models that include both rule-based and data-based knowledge sources, e.g. weighted finite-state transducers.
CLARA has interdisciplinary relevance. The project is primarily situated in the humanities, because the use of language sources, which are increasingly digitized, is pervasive in all humanities disciplines. CLARA will also have relevance for psychological and social science approaches to language incl uding the study of mental language processes and social dynamics of language groups. The project is also relevant beyond the Humanities and Social Sciences, since the traditional language sciences must be complemented by relevant knowledge from informatio n theory, statistics, computer science, cognitive science and artificial intelligence, to name just a few. Thus, the next generation of language researchers will need a new combination of training components which most universities and research institutio ns cannot offer by themselves.
The technological applications of CLARA are intersectoral. Language models have, for instance, a huge potential in the educational sector, which currently faces the gap between advanced research in Intelligent Computer-Assis ted Language Learning (ICALL) and the actual needs and practice of current Foreign Language Teaching (FLT). In the IT sector, localization, search engines and information retrieval constitute huge application area",Vitenskapelige høyskoler,UoH-sektor,444000,Gisle Andersen,Institutt for fagspråk og interkulturell kommunikasjon,Bergen
216801,Online-learning Intrusion Detection Systems (OL-IDS),2012,2013,"Massive data, adversarial activities, changing environments and lack of real labeled training datasets are challenging the successful protection of computer systems and networks by means of IDSs. Solving these problems guarantees the efficiency and effect iveness of IDSs and thus contributes to providing secure network systems. Expert systems, such as SNORT [1], are unable to deal with massive data and adversaries, since in these systems, manual coding of attack patterns costs a lot of effort and time. Moreover, the systems are often easy targets of evasion and obfuscation activities. Existing computational-intelligence-based IDSs with offline-learning algorithms require frequent complete o²ine re-training to improve the attack analysis and to learn new at tacks. When the training dataset is very large, these IDSs become impractical to adapt to dynamic environments. Furthermore, the training process requires a real labeled dataset that is diffcult to obtain due to privacy and labeling methodology issues.

The research aims to produce the following outputs: (1) New generative methods for online-learning in intrusion detection systems that comprises embedded-online feature-selection, (2) two scientific papers in top-ranked conferences on machine learning (i.e .: NIPS: Neural Information Processing Systems) and on security (i.e.: RAID: Recent Advances in Intrusion Detection), and (3) one article in the prestigious Journal of Machine Learning Research.",Statlige høyskoler,UoH-sektor,91000,Katrin Franke,HØGSKOLEN I GJØVIK AVD FOR INFORMATIKK OG MEDIETEKNIKK,Gjøvik
217768,A Flexible and Common Control Architecture for Rolls-royce Marine Cranes and Robotic Arms,2012,2013,"Cranes are widely used to handle and transfer objects from large container ships to smaller lighters or to the quays of the harbors. The control of robotic cranes is always a challenging task which involves many problems such as load sway, positioning acc uracy, suppression, collision avoidance, and manipulation security. However, the low control flexibility and non-standardization are two crucial points of current crane control architecture. There is no standardized uniform control input interface or flex ible and common control architecture to deal with all possible cranes with different kinematics even if the cranes are from the same industrial maritime company. As a result, experienced human operators are only good at controlling some types of cranes ev en after many years of training. If operators have to control other crane systems, more professional training is absolutely necessary in order to get familiar with using the new input device with the different control strategy.
Rolls-Royce Marine has a la rge number of different types of cranes and robotic systems for handling cargoes and operations. The proposed project will address to develop a flexible control architecture and a common haptic device for all different Rolls-Royce marine deck cranes/robot s offering working efficiency and manipulation safety in marine operations. 
The project will therefore be a unique and it will strengthen the maritime cluster in the region and nationally. This project will combine expertise from complementary discipline s: robotics, artificial intelligence, computer science, and maritime industry. The research will pave the way towards new real maritime application fields, particularly towards the crane handling and manipulation. This project is expected to contribute to  improving the competitiveness of Norwegian scientific research not only in robotic crane manipulation but also in maritime application.",Næringsliv,Næringsliv,1600000,Hans Petter Hildre,KONGSBERG MARITIME CM AS,Ålesund
217769,A Novel Integrated Anti-sway System for Rolls-Royce Marine Shipboard Cranes,2012,2013,"The proposed project will address the development of a novel anti-sway control architecture for different Rolls-Royce marine shipboard cranes, offering stability, safety, and efficiency during lifting, handling, transportation, and other manipulation.
Fir st, some systems in related literature are only designed to reduce pendulation, while others only focus on minimizing wave impact on the payload by reducing dynamic forces. However, to the best of our knowledge, to date, no integrated solutions to prevent  both these problems have been presented. From a technical point of view, the proposed system will offer working efficiency and safety in marine operations. It will reduce the crane payload swing in the roll and pitch directions of the ship using a modifi ed variable bang-bang controller. Meanwhile, the system could minimize wave impact on the payload by reducing the dynamic forces in the hoist wire using sensor feedback and hydraulic damper. As far as we are aware, there are no similar crane control appro aches available to date in Norway, nor in Europe or in the US to provide the anti-sway control functions dealing with the pendulation of long hoist cable and effects from the sea waves at the same time. 
All proposed control strategy will not only be demo nstrated in the simulated environment but will also be implemented as a real physical prototype for controlling Rolls-Royce shipboard cranes. Given its interdisciplinary nature, this project has to combine expertise from complementary disciplines: robotic s, artificial intelligence, computer science, and the maritime industry. All research results will not only affect maritime application but are also expected to lead to fundamentally new control systems based on dynamic control, and multifunctional system s in the robotics and automation field. As a conclusion, the project will therefore be a unique and it will strengthen the maritime cluster in the region and nationally.",Næringsliv,Næringsliv,800000,Hans Petter Hildre,KONGSBERG MARITIME CM AS,Ålesund
220506,"Model Selection for Machine Learning, Kinesisk statsstipend 2012/2013",2012,2013,NA,Universiteter,UoH-sektor,160000,Yuanfang Dong,Institutt for informatikk,Oslo
222010,Automated Software Testing of Complex Industrial Robotics Systems,2012,2015,"Robotiserte løsninger for lakkering er komplisert, med mange avhengigheter på tvers av teknologi. Dette medfører at testing av software er både arbeidskrevende og krever dyp innsikt. Planen for prosjektet er å se på muligheter for å automatisk gjøre bedre  tester av software og finne feil på et tidligere tidspunkt i prosessen. Målet er å kunne utvikle software raskere og med bedre kvalitet.",Næringsliv,Næringsliv,1376000,Jan Christian Kerlefsen,ABB AS,Bærum
222415,The embodied cognitive bases for classifier systems,2013,2017,"This project looks at the possibility that abstract grammatical categories as they are expressed in classifier systems of nouns are instances of embodied conceptual knowledge. Such categories typically describe the noun's essence  (an ANIMAL dog), its phy sical properties (a LONG pencil, a FLEXIBLE rope), or its function (a VEHICLE car). ""Embodied"" means that concepts are stored and reactivated in modal brain areas corresponding to the senses that were active in the process of learning: through vision, tou ch, taste, physical interaction or emotion, or a combination of these. Modal knowledge is processed locally in disparate brain areas, e.g. visual knowledge quite distant from areas for moving one's body parts. Knowing this, the first challenge regards how  co-occurring modes of learning are merged in the brain to form unitary concepts. Is there a central abstraction area in the brain that after learning stores concepts irrespective of the manner in which they were learnt? If so, what function does reactiva tion of neurons in modal areas have for processing concepts? is it redundant or crucial for understanding? The project also looks at the contribution of shape, motion and emotion in knowing about living vs. non-living things. Evidence from grammars and br ain-damaged patients have independently shown that this notion is gradient (human > animal, etc). Neuroimaging evidence on these categories will reveal what brain areas support their knowledge and increase understanding of meaning-impairment. Likewise, th e importance of understanding a central vs. distributed representation of knowledge will affect how we think about treatments for knowledge- and language disabled people, since we will understand better the importance of manner of learning for subsequent  storage. It will also prove or disprove embodied cognition as a theory applying equally to abstract and concrete concepts. Finally, interactional knowledge systems are relevant to programming in robotics.",Universiteter,UoH-sektor,3583000,Marit Lobben,Psykologisk institutt,Oslo
222613,"NODALIDA 2013: The 19th Nordic Conference of Computational Linguistics, Oslo, Norway, May 22-24, 2013.",2013,2014,"The conference has been held every two years at various northern European universities since 1977, it is the first time the conference will be held in Oslo. It is NEALT (Northern European Association for Language Technology) that has asked Professor Janne  Bondi Johannessenthe and University of Oslo, Department of Linguistics and Scandinavian Studies to organize the conference in 2013.

The main theme is language technology in many different forms, such as speech recognition and speech synthesis, tagging a nd parsing, language modeling, machine learning, machine translation, man-machine interaction, automatic summarisation, and information retrieval. Language technology is a new and exciting field that also has practical benefits for society, such as in app lications like spell checkers, search engines on the Internet, automatic translation on the Internet, aids for disabled and the visually impaired, etc.
 
NODALIDA is especially important for the participating countries because it brings together participa nts from small northern European language communities. These have common challenges compared to the worldwide English- or Spanish-speaking communities. Language technology is expensive to develop whether the language community is large or small. For small  languages the market potential for language technology products is often too small to be commercially profitable.

NODALIDA is thus an important conference, because it makes it possible to focus on challenges related to Norwegian and Nordic languages,  a nd to Sami, Kven and Finnish. At the same time the quality of the conference is high, so that both talks and posters are important sources of new knowledge for the participants. (Approx 67% of the submissions are accepted.)

The conference lasts for two d ays and will be a mix of plenary lectures, lectures in parallel sessions (usually three) and a poster and demonstration session. The first day is the day for workshops.",Universiteter,UoH-sektor,94000,Janne M. Bondi Johannessen,DET HUMANISTISKE FAKULTET,Oslo
222718,"Integrated Environmental Monitoring;
taking environmental data in to decision making processes",2012,2016,"The project consists of the four following parts: 

Part 1 Automatic image analysis and machine learning
Main Aim: For proper analysis and use of pictures, there is a need for a system to help humans to pinpoint/select issues of interest to be further inv estigated. This could be 1) specific objects of interest, e.g. coverage of corals or leaks of hydrocarbons or 2) changes in patterns of vast amount of data on one geographical location e.g. gradually present or absent of specific species. 

Part 2 Combini ng multi sensor data for optimal benefit of information 
Main Aim: is to use one or several of the identified case studies in the IEM project and the AUR-LAB cruises to identify which key-environmental variables and parameters that should be measured in g iven situations (1-3 described below), and use multivariate analysis to interpret the results with respect to the source for observed change and the co-variance between variables and parameters. 

Part 3 How to use processed data into a decision making pr ocesses?
Main Aim: The focus in this part will be on finding the optimal way of presenting the data types, or a set of these, described in part 1 and 2. Furthermore, as basis for environmental management the aim is to identify what kind of data different  decision makers needs and if some of the data need to be shared between the different decision makers. 

Part 4 Piloting process
Main Aim: The focus in this part is to apply Part 1-3 on an actual offshore case. This part will also be a validation of the s olutions chosen in part 1-3. The pilot will be specified by the IEM project. 


I addition to reflecting key issues identified as success factors in the IEM project, it is also believed that the different parts will give valid knowledge and experiences on  how to optimise and use environmental data in management in general.",Næringsliv,Næringsliv,1416000,Vidar Hepsø,EQUINOR ASA,Stavanger
